strategy,X,posterior_prob
fully-optimal,14.0,0.0016191840882551131
equal-weights,14.0,0.0036579608734469402
ignore-weak,14.0,0.004550083999569158
fully-optimal,23.0,0.0022082077367457337
equal-weights,23.0,0.0036579608734469402
ignore-weak,23.0,0.017275545250193636
fully-optimal,32.0,0.0030108590713695442
equal-weights,32.0,0.0036579608734469402
ignore-weak,32.0,0.06332687531094787
fully-optimal,41.0,0.004104062451428758
equal-weights,41.0,0.0036579608734469402
ignore-weak,41.0,0.20635925681183107
fully-optimal,50.0,0.005591967308834779
equal-weights,50.0,0.0036579608734469394
ignore-weak,50.0,0.005591967308834779
fully-optimal,104.0,0.012718647596290678
equal-weights,104.0,0.03342964997018386
ignore-weak,104.0,0.004550083999569158
fully-optimal,113.0,0.017275545250193633
equal-weights,113.0,0.03342964997018386
ignore-weak,113.0,0.017275545250193636
fully-optimal,122.0,0.023426369721582355
equal-weights,122.0,0.033429649970183876
ignore-weak,122.0,0.06332687531094787
fully-optimal,131.0,0.03169651360888685
equal-weights,131.0,0.03342964997018386
ignore-weak,131.0,0.20635925681183107
fully-optimal,140.0,0.04275841114653606
equal-weights,140.0,0.03342964997018386
ignore-weak,140.0,0.04275841114653606
fully-optimal,203.0,0.12252748567058033
equal-weights,203.0,0.24574484108588918
ignore-weak,203.0,0.017275545250193636
fully-optimal,212.0,0.1600493053652465
equal-weights,212.0,0.24574484108588918
ignore-weak,212.0,0.06332687531094787
fully-optimal,221.0,0.20635925681183107
equal-weights,221.0,0.24574484108588918
ignore-weak,221.0,0.20635925681183107
fully-optimal,230.0,0.2618909674595814
equal-weights,230.0,0.24574484108588918
ignore-weak,230.0,0.2618909674595814
fully-optimal,302.0,0.6021580931747168
equal-weights,302.0,0.7542551589141108
ignore-weak,302.0,0.06332687531094787
fully-optimal,311.0,0.673776187888322
equal-weights,311.0,0.7542551589141109
ignore-weak,311.0,0.20635925681183107
fully-optimal,320.0,0.7381090325404186
equal-weights,320.0,0.7542551589141108
ignore-weak,320.0,0.7381090325404186
fully-optimal,401.0,0.9425482089233578
equal-weights,401.0,0.9665703500298162
ignore-weak,401.0,0.20635925681183107
fully-optimal,410.0,0.9572415888534639
equal-weights,410.0,0.9665703500298162
ignore-weak,410.0,0.9572415888534639
fully-optimal,500.0,0.9944080326911653
equal-weights,500.0,0.9963420391265531
ignore-weak,500.0,0.9944080326911653
fully-optimal,1013.0,0.02342636972158236
equal-weights,1013.0,0.03342964997018386
ignore-weak,1013.0,0.06332687531094787
fully-optimal,1022.0,0.031696513608886846
equal-weights,1022.0,0.033429649970183876
ignore-weak,1022.0,0.20635925681183104
fully-optimal,1031.0,0.04275841114653607
equal-weights,1031.0,0.03342964997018386
ignore-weak,1031.0,0.5
fully-optimal,1040.0,0.05745179107664225
equal-weights,1040.0,0.03342964997018386
ignore-weak,1040.0,0.793640743188169
fully-optimal,1103.0,0.16004930536524647
equal-weights,1103.0,0.24574484108588915
ignore-weak,1103.0,0.06332687531094787
fully-optimal,1112.0,0.20635925681183104
equal-weights,1112.0,0.24574484108588918
ignore-weak,1112.0,0.20635925681183104
fully-optimal,1121.0,0.2618909674595814
equal-weights,1121.0,0.24574484108588918
ignore-weak,1121.0,0.5
fully-optimal,1130.0,0.32622381211167795
equal-weights,1130.0,0.24574484108588915
ignore-weak,1130.0,0.793640743188169
fully-optimal,1202.0,0.673776187888322
equal-weights,1202.0,0.7542551589141108
ignore-weak,1202.0,0.20635925681183104
fully-optimal,1211.0,0.7381090325404186
equal-weights,1211.0,0.7542551589141108
ignore-weak,1211.0,0.5
fully-optimal,1220.0,0.7936407431881689
equal-weights,1220.0,0.7542551589141108
ignore-weak,1220.0,0.793640743188169
fully-optimal,1301.0,0.9572415888534639
equal-weights,1301.0,0.9665703500298162
ignore-weak,1301.0,0.5
fully-optimal,1310.0,0.9683034863911131
equal-weights,1310.0,0.9665703500298162
ignore-weak,1310.0,0.793640743188169
fully-optimal,1400.0,0.9958959375485713
equal-weights,1400.0,0.9963420391265531
ignore-weak,1400.0,0.793640743188169
fully-optimal,2012.0,0.26189096745958135
equal-weights,2012.0,0.24574484108588918
ignore-weak,2012.0,0.5
fully-optimal,2021.0,0.3262238121116779
equal-weights,2021.0,0.24574484108588918
ignore-weak,2021.0,0.7936407431881689
fully-optimal,2030.0,0.39784190682528325
equal-weights,2030.0,0.24574484108588918
ignore-weak,2030.0,0.9366731246890522
fully-optimal,2102.0,0.7381090325404186
equal-weights,2102.0,0.7542551589141108
ignore-weak,2102.0,0.5
fully-optimal,2111.0,0.7936407431881689
equal-weights,2111.0,0.7542551589141108
ignore-weak,2111.0,0.7936407431881689
fully-optimal,2120.0,0.8399506946347535
equal-weights,2120.0,0.7542551589141108
ignore-weak,2120.0,0.9366731246890522
fully-optimal,2201.0,0.9683034863911132
equal-weights,2201.0,0.9665703500298162
ignore-weak,2201.0,0.7936407431881689
fully-optimal,2210.0,0.9765736302784176
equal-weights,2210.0,0.9665703500298162
ignore-weak,2210.0,0.9366731246890522
fully-optimal,2300.0,0.9969891409286303
equal-weights,2300.0,0.9963420391265531
ignore-weak,2300.0,0.9366731246890522
fully-optimal,3011.0,0.8399506946347535
equal-weights,3011.0,0.7542551589141109
ignore-weak,3011.0,0.9366731246890522
fully-optimal,3020.0,0.8774725143294196
equal-weights,3020.0,0.7542551589141108
ignore-weak,3020.0,0.9827244547498064
fully-optimal,3101.0,0.9765736302784177
equal-weights,3101.0,0.9665703500298162
ignore-weak,3101.0,0.9366731246890522
fully-optimal,3110.0,0.9827244547498064
equal-weights,3110.0,0.9665703500298162
ignore-weak,3110.0,0.9827244547498064
fully-optimal,3200.0,0.9977917922632542
equal-weights,3200.0,0.9963420391265531
ignore-weak,3200.0,0.9827244547498064
fully-optimal,4010.0,0.9872813524037093
equal-weights,4010.0,0.9665703500298162
ignore-weak,4010.0,0.9954499160004309
fully-optimal,4100.0,0.9983808159117449
equal-weights,4100.0,0.9963420391265531
ignore-weak,4100.0,0.9954499160004309
