strategy,X,posterior_prob
fully-optimal,14.0,1.923054746803381e-05
equal-weights,14.0,0.014781751581840419
ignore-weak,14.0,2.9106323977911602e-05
fully-optimal,23.0,0.00017295171845031724
equal-weights,23.0,0.014781751581840417
ignore-weak,23.0,0.00039612106018038415
fully-optimal,32.0,0.0015535483637440525
equal-weights,32.0,0.014781751581840417
ignore-weak,32.0,0.0053661552475699845
fully-optimal,41.0,0.01380269249144227
equal-weights,41.0,0.014781751581840419
ignore-weak,41.0,0.06842544312472114
fully-optimal,50.0,0.11181576977811694
equal-weights,50.0,0.014781751581840417
ignore-weak,50.0,0.11181576977811694
fully-optimal,104.0,4.405354555028067e-05
equal-weights,104.0,0.07448987499750871
ignore-weak,104.0,2.9106323977911602e-05
fully-optimal,113.0,0.0003961210601803841
equal-weights,113.0,0.07448987499750871
ignore-weak,113.0,0.00039612106018038415
fully-optimal,122.0,0.003551850722105889
equal-weights,122.0,0.07448987499750873
ignore-weak,122.0,0.0053661552475699845
fully-optimal,131.0,0.031066613932378275
equal-weights,131.0,0.07448987499750871
ignore-weak,131.0,0.06842544312472114
fully-optimal,140.0,0.22384542465816926
equal-weights,140.0,0.07448987499750871
ignore-weak,140.0,0.22384542465816926
fully-optimal,203.0,0.000906997139554086
equal-weights,203.0,0.30155711898689824
ignore-weak,203.0,0.00039612106018038415
fully-optimal,212.0,0.008099683129018456
equal-weights,212.0,0.30155711898689824
ignore-weak,212.0,0.0053661552475699845
fully-optimal,221.0,0.06842544312472112
equal-weights,221.0,0.30155711898689824
ignore-weak,221.0,0.06842544312472114
fully-optimal,230.0,0.3978419068252829
equal-weights,230.0,0.30155711898689824
ignore-weak,230.0,0.3978419068252829
fully-optimal,302.0,0.01836330238555016
equal-weights,302.0,0.6984428810131017
ignore-weak,302.0,0.0053661552475699845
fully-optimal,311.0,0.1440315849157814
equal-weights,311.0,0.6984428810131017
ignore-weak,311.0,0.06842544312472114
fully-optimal,320.0,0.602158093174717
equal-weights,320.0,0.6984428810131017
ignore-weak,320.0,0.602158093174717
fully-optimal,401.0,0.2782276284093089
equal-weights,401.0,0.9255101250024912
ignore-weak,401.0,0.06842544312472114
fully-optimal,410.0,0.7761545753418306
equal-weights,410.0,0.9255101250024912
ignore-weak,410.0,0.7761545753418306
fully-optimal,500.0,0.8881842302218832
equal-weights,500.0,0.9852182484181595
ignore-weak,500.0,0.8881842302218832
fully-optimal,1013.0,0.0035518507221058886
equal-weights,1013.0,0.07448987499750871
ignore-weak,1013.0,0.005366155247569985
fully-optimal,1022.0,0.031066613932378275
equal-weights,1022.0,0.07448987499750873
ignore-weak,1022.0,0.06842544312472114
fully-optimal,1031.0,0.22384542465816923
equal-weights,1031.0,0.07448987499750871
ignore-weak,1031.0,0.5
fully-optimal,1040.0,0.7217723715906911
equal-weights,1040.0,0.07448987499750871
ignore-weak,1040.0,0.9315745568752788
fully-optimal,1103.0,0.008099683129018457
equal-weights,1103.0,0.30155711898689824
ignore-weak,1103.0,0.005366155247569985
fully-optimal,1112.0,0.06842544312472114
equal-weights,1112.0,0.30155711898689824
ignore-weak,1112.0,0.06842544312472114
fully-optimal,1121.0,0.39784190682528303
equal-weights,1121.0,0.30155711898689824
ignore-weak,1121.0,0.5
fully-optimal,1130.0,0.8559684150842185
equal-weights,1130.0,0.30155711898689824
ignore-weak,1130.0,0.9315745568752788
fully-optimal,1202.0,0.14403158491578139
equal-weights,1202.0,0.6984428810131017
ignore-weak,1202.0,0.06842544312472114
fully-optimal,1211.0,0.6021580931747169
equal-weights,1211.0,0.6984428810131017
ignore-weak,1211.0,0.5
fully-optimal,1220.0,0.9315745568752788
equal-weights,1220.0,0.6984428810131017
ignore-weak,1220.0,0.9315745568752788
fully-optimal,1301.0,0.7761545753418307
equal-weights,1301.0,0.9255101250024912
ignore-weak,1301.0,0.5
fully-optimal,1310.0,0.9689333860676217
equal-weights,1310.0,0.9255101250024912
ignore-weak,1310.0,0.9315745568752788
fully-optimal,1400.0,0.9861973075085577
equal-weights,1400.0,0.9852182484181595
ignore-weak,1400.0,0.9315745568752788
fully-optimal,2021.0,0.8559684150842186
equal-weights,2021.0,0.30155711898689824
ignore-weak,2021.0,0.9315745568752789
fully-optimal,2030.0,0.9816366976144498
equal-weights,2030.0,0.30155711898689824
ignore-weak,2030.0,0.99463384475243
fully-optimal,2111.0,0.9315745568752789
equal-weights,2111.0,0.6984428810131017
ignore-weak,2111.0,0.9315745568752789
fully-optimal,2120.0,0.9919003168709816
equal-weights,2120.0,0.6984428810131017
ignore-weak,2120.0,0.99463384475243
fully-optimal,2201.0,0.9689333860676217
equal-weights,2201.0,0.9255101250024912
ignore-weak,2201.0,0.9315745568752789
fully-optimal,2210.0,0.9964481492778942
equal-weights,2210.0,0.9255101250024912
ignore-weak,2210.0,0.99463384475243
fully-optimal,2300.0,0.9984464516362559
equal-weights,2300.0,0.9852182484181595
ignore-weak,2300.0,0.99463384475243
fully-optimal,3011.0,0.9919003168709816
equal-weights,3011.0,0.6984428810131017
ignore-weak,3011.0,0.9946338447524301
fully-optimal,3020.0,0.999093002860446
equal-weights,3020.0,0.6984428810131017
ignore-weak,3020.0,0.9996038789398196
fully-optimal,3101.0,0.996448149277894
equal-weights,3101.0,0.9255101250024914
ignore-weak,3101.0,0.9946338447524301
fully-optimal,3110.0,0.9996038789398196
equal-weights,3110.0,0.9255101250024914
ignore-weak,3110.0,0.9996038789398196
fully-optimal,3200.0,0.9998270482815497
equal-weights,3200.0,0.9852182484181595
ignore-weak,3200.0,0.9996038789398196
fully-optimal,4010.0,0.9999559464544497
equal-weights,4010.0,0.9255101250024912
ignore-weak,4010.0,0.9999708936760221
fully-optimal,4100.0,0.999980769452532
equal-weights,4100.0,0.9852182484181595
ignore-weak,4100.0,0.9999708936760221
